
"hart","5"
"playing","5"
"blocks","5"
"ending","5"
"stock","5"
"horn","5"
"dragon","5"'s
"ark","5"
"eyes","5"
"finned","5"
"pomeis","5"
"club","5"
"bugle","5"-horn
"sea","5"-horses
"perched","5"
"carpenter","5"'s
"baston","5"
"boots","5"
"text","5"
"bustards","5"
"forked","5"
"anchors","5"
"moon","5"
"lioncels","5"
"right","5"
"collar","5"
"seizing","5"
"gads","5"
"crabs","5"
"fretted","5"
"danish","5"
"viz","5"
"up","5"
"looking","5"
"down","5"
"silk","5"
"purse","5"
"ringed","5"
"others","5"
"gueules","5"
"slip","5"
"bladed","5"
"quartering","5"
"gauntlets","5"
"couched","5"
"quatrefoil","5"
"corner","5"
"stirrups","5"
"figure","5"
"word","5"
"terminating","5"
"horned","5"
"passing","5"
"golden","5"
"fetterlock","5"
"pomegranate","5"
"trout","5"
"crane","5"
"sheaves","5"
"poix","5"
"cats","5"
"drops","5"
"falcons","5"
"half","5"
"spear","5"-heads
"oval","5"
"patriarchal","5"
"mulberry","5"
"hanging","5"
"bendways","5"
"vine","5"
"bent","5"
"cockatrice","5"
"pheon","5"
"water","5"-bougets
"gauntlet","5"
"partridges","5"
"flower","5"
"bell","5"
"regal","5"
"bridge","5"
"mortars","5"
"vambraced","5"
"lower","5"
"lozenge","5"
"clenched","5"
"stork","5"
"girt","5"
"body","5"
"hurts","5"
"trois","5"
"patee","5"
"d","5"'eau
"dancette","5"
"links","5"
"squirrels","5"
"unicorn","5"'s
"semee","5"
"armour","5"
"trumpets","5"
"hare","5"
"wheels","5"
"pointing","5"
"lure","5"
"apples","5"
"pillars","5"
"bird","5"-bolts
"quills","5"
"cup","5"
"resting","5"
"demi","5"-lions
"carrying","5"
"conies","5"
"chaplet","5"
"holly","5"-leaves
"katherine","5"-wheel
"torteau","5"
"chevronels","5"
"braced","5"
"sprig","5"
"bee","5"
"bottonnee","4"
"blackbirds","4"
"adders","4"
"affronty","4"
"crutch","4"
"caboshed","4"
"gudgeons","4"
"pellets","4"
"pheasant","4"
"shepherd","4"'s
"seal","4"'s
"sang","4"
"roman","4"
"rams","4"
"fifth","4"
"helmet","4"
"checky","4"
"chevronelly","4"
"flies","4"
"olive","4"
"red","4"
"acorned","4"
"bill","4"
"cock","4"
"against","4"
"pick","4"-axes
"flank","4"
"scythe","4"
